Index,Layout,Net Power (MW),Net Heat (MW),T_info
0,G-1HTaHTa1T1TACHE,-7.677901482305937,7.677901482718389,1
1,G-1aHTa1H1HACHE,-7.737409662326207,7.737409662536416,1
2,G1AT-1ACH1CHCaHTaE,-7.269813337329603,7.269813337652073,1
3,G1CaHT-1aA1ACTACHE,-7.636280218752817,7.636280218835574,1
4,G1T1ACTaHTa-1TACHE,-7.830728011659133,7.8307280202608105,1
5,G1Ta1HTaAC-1HATE,-7.490098386427715,7.490098386427418,1
6,GATHC1TaACaT-1H1E,-7.640556750737386,7.640556721983622,1
7,GC1H1TaTACTa-1AE,-7.636834393935995,7.636834369264882,1
8,GC1aTHTaA-1C1THE,-7.608967081544178,7.608967081544493,0
9,GCTaATCaCHE,-7.29914545784591,7.29914545492477,0
10,GT-1CT1T1TaACaHE,-7.891041930866642,7.891041945698578,1
11,GT-1H1aA1CaHE,-7.604351893735006,7.60435189373396,1
12,GT-1HTHT1Ta1ACaHE,-7.874524335637653,7.8745243461462815,1
13,GT1A1ACAaHT-1aE,-8.840408331053373,8.840408332084987,1
14,GT1CaTHT-1aA1ACHE,-7.700856193133087,7.700856193135884,1
15,GT1HTA1aACHCaH-1E,-7.633800497513583,7.633800497529745,1
16,GTC-1AT1aHCTHTaA1E,-7.807966266500252,7.807966266567953,0
17,GTCaHACaHE,-7.386885412796792,7.386885412812791,1
18,GTCaTACAaCHE,-8.76184760153666,8.761847601662387,1
19,GTHTaCACaHE,-7.7517753034106285,7.751775305565894,1
20,GTHTaTACaTHE,-7.542387572509173,7.542387576156724,1
21,GTHaACHaHE,-7.620860511490796,7.620860511506096,1
22,GTHaCACHaTHE,-7.458963871197605,7.45896387138788,1
23,GTHaHATCHaHE,-7.181247405141397,7.181247405150924,0
24,GTa-1H1A1TaACHE,-7.659497808389122,7.659497801056717,1
25,GTaAC-1HTA1THTaH1E,-7.544461101367732,7.5444611003845115,1
26,GTaACTHa-1H1H1E,-7.91852199607066,7.91852198815107,1
27,GTaACaHCE,-7.712268623471702,7.712268623471953,1
28,GTaAT1T1ACaH-1E,-7.539235488688145,7.539235488739908,1
29,GTaATA1HT1CaH-1HE,-7.602665137545126,7.602665140934699,1
30,GTaCHTACaHE,-7.346339877544165,7.346339882408965,1
31,GTaHACaHE,-7.3733316032838525,7.3733316032838525,1
